long,lat,nombre,barrio
-58.49093271,-34.67776131,2 DE ABRIL DE 1982 6691,Villa Lugano
-58.4421529,-34.56963103,3 DE FEBRERO 945,Palermo
-58.44491198,-34.56757028,3 DE FEBRERO 1261,Palermo
-58.44671754,-34.56545114,3 DE FEBRERO 1453,Belgrano
-58.44838765,-34.56351018,3 DE FEBRERO 1649,Belgrano
-58.45182684,-34.55954363,3 DE FEBRERO 2085,Belgrano
-58.45300002,-34.55817236,3 DE FEBRERO 2215,Belgrano
-58.45901422,-34.5505404,3 DE FEBRERO 3005,Nuñez
-58.46206415,-34.54638872,3 DE FEBRERO 3575,Nuñez
-58.46340792,-34.54469994,3 DE FEBRERO 3772,Nuñez
-58.50810017,-34.64336751,ACASSUSO 5767,Liniers
-58.51344938,-34.64818535,ACASSUSO 6365,Liniers
-58.51455417,-34.64917107,ACASSUSO 6485,Liniers
-58.51774791,-34.65204398,ACASSUSO 6997,Liniers
-58.47200231,-34.58355249,"ACHA, MARIANO, GRAL. 1013",Villa Ortuzar
-58.47204938,-34.58177382,"ACHA, MARIANO, GRAL. 1179",Villa Ortuzar
-58.47206567,-34.58106433,"ACHA, MARIANO, GRAL. 1235",Villa Ortuzar
-58.47255819,-34.57731335,"ACHA, MARIANO, GRAL. 1693",Villa Ortuzar
-58.47319766,-34.57659193,"ACHA, MARIANO, GRAL. 1747",Villa Ortuzar
-58.47426856,-34.64030879,"ACOSTA, MARIANO 824",Parque Avellaneda
-58.46915499,-34.64435111,"ACOSTA, MARIANO 1270",Parque Avellaneda
-58.44953717,-34.65977032,"ACOSTA, MARIANO 2830",Villa Soldati
-58.44919006,-34.65999626,"ACOSTA, MARIANO 2956",Villa Soldati
-58.44750013,-34.66128924,"ACOSTA, MARIANO 3064",Villa Soldati
-58.44572473,-34.66305094,"ACOSTA, MARIANO 3265",Villa Soldati
-58.44260094,-34.6654567,"ACOSTA, MARIANO 3555",Villa Soldati
-58.44287581,-34.66530597,"ACOSTA, MARIANO 3635",Villa Soldati
-58.4819826,-34.63418938,"ACOSTA, MARIANO AV. 22",Floresta
-58.4780869,-34.63726974,"ACOSTA, MARIANO AV. 326",Floresta
-58.47704544,-34.63809507,"ACOSTA, MARIANO AV. 460",Floresta
-58.44005868,-34.60761463,ACOYTE 909,Caballito
-58.44295695,-34.6032088,ACOYTE 1437,Villa Crespo
-58.43709276,-34.61727861,ACOYTE AV. 90,Caballito
-58.43776914,-34.61505246,ACOYTE AV. 264,Caballito
-58.43810247,-34.61327092,ACOYTE AV. 461,Caballito
-58.4397012,-34.60961857,ACOYTE AV. 755,Caballito
-58.42514055,-34.619132,AGRELO 4173,Almagro
-58.52645398,-34.63300611,AGUARIBAY 6752,Versalles
-58.43197209,-34.60151289,AGUIRRE 17,Villa Crespo
-58.43388731,-34.59946495,AGUIRRE 291,Villa Crespo
-58.43512805,-34.59813924,AGUIRRE 445,Villa Crespo
-58.44516309,-34.58803231,AGUIRRE 1609,Chacarita
-58.50547821,-34.57490977,ALBARELLOS AV. 2455,Villa Pueyrredon
-58.50843477,-34.57665691,ALBARELLOS AV. 2769,Villa Pueyrredon
-58.50957348,-34.5773316,ALBARELLOS AV. 2853,Villa Pueyrredon
-58.5125322,-34.57908397,ALBARELLOS AV. 3155,Villa Pueyrredon
-58.50906589,-34.64062563,ALBARIÑO 213,Villa Luro
-58.50509621,-34.64368884,ALBARIÑO 559,Liniers
-58.50323692,-34.64510113,ALBARIÑO 709,Liniers
-58.49215069,-34.65381168,ALBARIÑO 1713,Mataderos
-58.48983736,-34.65556951,ALBARIÑO 1931,Mataderos
-58.48846041,-34.65669373,ALBARIÑO 2051,Mataderos
-58.4852456,-34.65919863,ALBARIÑO 2305,Mataderos
-58.48297136,-34.66097054,ALBARIÑO 2525,Villa Lugano
-58.48165372,-34.66199621,ALBARIÑO 2655,Villa Lugano
-58.47833322,-34.66458549,ALBARIÑO 2895,Villa Lugano
-58.47345602,-34.66831448,ALBARIÑO 3344,Villa Lugano
-58.47175534,-34.6696845,ALBARIÑO 3486,Villa Lugano
-58.46979558,-34.67114922,ALBARIÑO 3660,Villa Lugano
-58.4351817,-34.62301904,"ALBERDI, JUAN BAUTISTA AV. 529",Caballito
-58.44166647,-34.62276804,"ALBERDI, JUAN BAUTISTA AV. 961",Caballito
-58.44594133,-34.62427726,"ALBERDI, JUAN BAUTISTA AV. 1275",Caballito
-58.44835309,-34.62553487,"ALBERDI, JUAN BAUTISTA AV. 1449",Caballito
-58.45177478,-34.62725517,"ALBERDI, JUAN BAUTISTA AV. 1643",Caballito
-58.45583418,-34.62936843,"ALBERDI, JUAN BAUTISTA AV. 1925",Flores
-58.45815384,-34.63010343,"ALBERDI, JUAN BAUTISTA AV. 2145",Flores
-58.46083518,-34.63093797,"ALBERDI, JUAN BAUTISTA AV. 2345",Flores
-58.46349486,-34.63174052,"ALBERDI, JUAN BAUTISTA AV. 2525",Flores
-58.46700751,-34.63281892,"ALBERDI, JUAN BAUTISTA AV. 2787",Flores
-58.46949158,-34.63350139,"ALBERDI, JUAN BAUTISTA AV. 2959",Flores
-58.47181587,-34.63422635,"ALBERDI, JUAN BAUTISTA AV. 3141",Flores
-58.47390361,-34.63515744,"ALBERDI, JUAN BAUTISTA AV. 3354",Floresta
-58.47501851,-34.63540463,"ALBERDI, JUAN BAUTISTA AV. 3451",Floresta
-58.47603559,-34.63583157,"ALBERDI, JUAN BAUTISTA AV. 3559",Floresta
-58.47785014,-34.63660272,"ALBERDI, JUAN BAUTISTA AV. 3743",Floresta
-58.48127188,-34.63814227,"ALBERDI, JUAN BAUTISTA AV. 3971",Velez Sarsfield
-58.48338796,-34.63911689,"ALBERDI, JUAN BAUTISTA AV. 4117",Velez Sarsfield
-58.48728709,-34.6409532,"ALBERDI, JUAN BAUTISTA AV. 4367",Velez Sarsfield
-58.49196479,-34.64318922,"ALBERDI, JUAN BAUTISTA AV. 4679",Villa Luro
-58.49408819,-34.64420403,"ALBERDI, JUAN BAUTISTA AV. 4831",Villa Luro
-58.49889648,-34.64815972,"ALBERDI, JUAN BAUTISTA AV. 5391",Mataderos
-58.50077022,-34.6498881,"ALBERDI, JUAN BAUTISTA AV. 5629",Mataderos
-58.50522302,-34.65399068,"ALBERDI, JUAN BAUTISTA AV. 6143",Mataderos
-58.50702506,-34.65531691,"ALBERDI, JUAN BAUTISTA AV. 6375",Mataderos
-58.50849124,-34.65638559,"ALBERDI, JUAN BAUTISTA AV. 6539",Mataderos
-58.51074882,-34.6579456,"ALBERDI, JUAN BAUTISTA AV. 6805",Mataderos
-58.51177792,-34.65880783,"ALBERDI, JUAN BAUTISTA AV. 6952",Mataderos
-58.51483492,-34.66038701,"ALBERDI, JUAN BAUTISTA AV. 7247",Mataderos
-58.51645855,-34.66140981,"ALBERDI, JUAN BAUTISTA AV. 7388",Mataderos
-58.50100368,-34.618615,ALCARAZ 4441,Monte Castro
-58.50402438,-34.62008919,ALCARAZ 4787,Monte Castro
-58.50574822,-34.6209007,ALCARAZ 4911,Monte Castro
-58.50966162,-34.62419652,ALCARAZ 5231,Monte Castro
-58.51215409,-34.62625334,ALCARAZ 5457,Villa Luro
-58.5159124,-34.63046705,ALCARAZ 5950,Versalles
-58.39721971,-34.64293436,"ALCORTA, AMANCIO AV. 2553",Parque Patricios
-58.40236775,-34.64641818,"ALCORTA, AMANCIO AV. 2937",Parque Patricios
-58.4078655,-34.65198213,"ALCORTA, AMANCIO AV. 3427",Nueva Pompeya
-58.41404214,-34.65533615,"ALCORTA, AMANCIO AV. 3889",Nueva Pompeya
-58.37937538,-34.65450925,ALGARROBO 1018,Barracas
-58.4114605,-34.6386732,ALMAFUERTE AV. 32,Parque Patricios
-58.41209314,-34.64050801,ALMAFUERTE AV. 260,Parque Patricios
-58.41464496,-34.64608544,ALMAFUERTE AV. 724,Nueva Pompeya
-58.39413601,-34.61169065,"ALSINA, ADOLFO 1960",Balvanera
-58.39655446,-34.61184524,"ALSINA, ADOLFO 2128",Balvanera
-58.39949933,-34.61202174,"ALSINA, ADOLFO 2340",Balvanera
-58.40237685,-34.61226992,"ALSINA, ADOLFO 2550",Balvanera
-58.40734299,-34.61256436,"ALSINA, ADOLFO 2922",Balvanera
-58.41103863,-34.61297441,"ALSINA, ADOLFO 3190",Balvanera
-58.48438048,-34.58526303,ALTOLAGUIRRE 1554,Parque Chas
-58.382016,-34.64726612,ALVARADO 2477,Barracas
-58.47542259,-34.6061169,ALVAREZ JONTE 2317,Villa Del Parque
-58.47787823,-34.60738689,ALVAREZ JONTE AV. 2515,Villa Del Parque
-58.48291052,-34.60868407,ALVAREZ JONTE AV. 2857,Villa Del Parque
-58.48562821,-34.60935622,ALVAREZ JONTE AV. 3043,Villa Del Parque
-58.48860313,-34.61006836,ALVAREZ JONTE AV. 3241,Villa Del Parque
-58.4908902,-34.61175411,ALVAREZ JONTE AV. 3477,Villa Del Parque
-58.49732895,-34.61526525,ALVAREZ JONTE AV. 4029,Monte Castro
-58.50316445,-34.6183582,ALVAREZ JONTE AV. 4559,Monte Castro
