long,lat,materiales,dias_y_horario,direccion,barrio
-58.48179472,-34.64333194,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19 hs.,DIRECTORIO AV. y FERNANDEZ,Parque Avellaneda
-58.46422004,-34.62803592,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19 hs.,"YERBAL y ARTIGAS, JOSE GERVASIO, GRAL.",Flores
-58.43419275,-34.61749012,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19 hs.,"RIVADAVIA AV. y BALCARCE, FLORENCIO",Caballito
-58.40622404,-34.63796999,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19 hs.,CASEROS AV. y MONTEAGUDO,Parque Patricios
-58.40472561,-34.62425148,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19 hs.,SAN JUAN AV. y DEAN FUNES,San Cristobal
-58.46476727,-34.67750162,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19 hs.,"POLA y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",Villa Lugano
-58.45834212,-34.61372266,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19 hs.,"ALVAREZ, DONATO, TTE. GRAL. y GAONA AV.",Caballito
-58.48775735,-34.55956181,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Miércoles a Domingos de 11 a 19 hs.,"LARRALDE, CRISOLOGO AV. y ACHA, MARIANO, GRAL.",Saavedra
-58.52089072,-34.62805376,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19 hs.,ARREGUI AV. y LISBOA,Versalles
-58.46808933,-34.61041256,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19 hs.,"ESCALADA DE SAN MARTIN, R. y BOYACA",Villa Gral. Mitre
-58.49148112,-34.60247668,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,NOGOYA 3045,Villa Del Parque
-58.44440108,-34.58319173,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,"DORREGO AV. y VEGA, NICETO, CNEL. AV.",Palermo
-58.45782844,-34.56248415,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,JURAMENTO AV. 2501,Belgrano
-58.43787171,-34.58354834,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,BONPLAND 1660,Palermo
-58.39221811,-34.59977926,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,CORDOBA AV. 1750,San Nicolas
-58.37953995,-34.65482723,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,ALGARROBO 1041,Barracas
-58.37048123,-34.60592486,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,"ALEM, LEANDRO N. AV. 150",San Nicolas
